0,1,2,3,4
11407165.41,57814282.24,1251891.2,13642940.26,9456392.192
11480306.69,19515019.26,399460.352,23837789.18,9671294.976
11348427.19,12198112.26,187804.672,17001432.16,9884419.072
11380500.61,15431367.68,88183.808,13622929.95,9884418.048
11489873.92,25196362.75,75943.936,11411622.05,9805902.848
11364426.52,58686441.47,389354.496,11770043.02,9773784.064
11432842.24,120927512.6,645064.704,14840665.94,9114511.36
11421942.6,258319559.7,2254292.992,24191434.02,8483733.504
11478610.72,1442123350,5336717.312,144434427.1,6362800.128
11527473.42,5181299229,9558321.152,476780770.3,4101704.704
11437644.98,4586297360,17193616.38,1084764587,3896281.088
11566428.74,2513840374,15319660.54,600248180.7,5208307.712
11444929.03,962694479.9,14905609.22,351158537.8,6204514.304
11478699.4,1944949096,15219763.2,414893773.8,5887493.12
11679619.31,4242386452,10265546.75,808632022.8,4558144.512
11551155.08,3986825413,5847367.68,659926929.1,4338503.68
11570498.72,3295967969,8960774.144,260858503.2,4659377.152
11631848.06,1342198252,6009668.608,215883437.7,4844966.912
11631959.56,1040064709,5652450.304,53543019.52,5894159.36
11668325.45,1099002020,4955752.448,48831792.22,5163761.664
11670223.13,692571865.1,5636240.384,57107165.18,6492225.536
11518599.44,448410943.5,4502990.848,76407854.05,5404413.952
11538477.03,308610596.9,3347060.736,63729876.14,6067760.128
11549682.2,184001733.6,2843963.392,36466870.27,7815058.432
11730115.14,70039122.94,1413948.416,21838078.98,8553286.656
11551060.65,32049098.75,338539.52,32806636.15,8690929.664
11441886.46,17247320.06,252786.688,34875966.46,9061230.592
11297533.65,19303395.33,41600,24472289.89,9269690.368
11370026.06,20750815.23,215704.576,18362244.8,9696157.696
11303041.28,65273298.94,273492.992,20911124.03,9433306.112
11308985.3,127551473.7,962236.416,26278387.82,8828579.84
11347549.53,271464218.6,2568164.352,34105280.51,7187544.064
11432560.14,1543342391,5929100.288,135520727.9,5296964.608
11540340.24,4492839879,10658505.73,229868020.7,3249210.368
11499837.44,3894076768,8584973.312,236348712,2909997.056
11622921.21,2153576923,6642843.648,222724472.3,3546701.824
11518729.62,1275199488,7067428.864,188783001.6,4313421.824
11342045.18,2469975294,8808965.12,526491238.6,3327058.944
11573652.92,4050190860,7913965.568,723944596.5,3496975.36
11626884.64,3810035499,6037840.896,464591170,2642705.408
11522917.21,3512964481,5486303.232,410733446.1,2670530.56
11490643.2,1339406942,5782161.408,185453856.7,3208667.136
11516798.98,1227142201,5169292.288,127107188.7,3732294.656
11586764.8,1280811467,5476067.328,124711041,4635251.712
11589271.82,808845312,4803614.72,140395905,5518085.12
11544360.96,588100141.1,4153048.064,114339073.9,5889273.856
11604878.34,343527129.1,3411876.864,151027224.1,4400228.352
11424116.74,175188749.3,1316839.424,107540049.1,8027589.632
11481825.81,71855138.82,1318045.696,99046196.57,8817022.976
11533293.57,29388589.06,332728.32,94778833.9,9007947.776
11545109.75,17898080.26,370415.616,80615135.07,9139378.176
11553560.58,15024884.74,59013.12,84964758.74,8719348.736
11564822.18,28256147.46,107278.336,138494967.2,9036370.944
11502782.46,74281817.09,340091.904,149960126.2,9382772.736
11550651.39,166612783.1,1032131.584,140653738.4,8320635.904
11582303.2,311550804,2371142.656,174764339.9,6806060.032
11571409.81,1537647575,5901259.776,246328884.1,5804463.104
11611583.49,4229444927,8638491.648,462698236,3013892.096
11593734.33,3907097985,6827841.536,831948624.4,3281852.416
11687495.68,1959998259,6387906.56,386305945.7,4480000
11596210.69,874924474.4,5395523.584,588233868.6,4560513.024
11566492.8,1585531847,5443608.576,694306543.2,3278442.496
11595123.71,3464702722,4616049.664,1471682328,3258027.008
11628693.89,3644901556,4115784.704,1727467527,2809659.392
11596306.76,3294900519,5881755.648,950381932.5,3121121.28
11645108.26,1464407687,3196323.84,479167006.8,3335353.344
11497996.18,1157206376,4270224.384,797397002.2,5053573.12
11415177.22,1198309507,4631953.408,288674001.9,5032187.904
11429715.7,769625423.9,4452874.24,210954177,7818468.352
11423931.65,514543583.2,3334670.336,113833863.3,7343826.944
11358148.22,290995568.6,3336869.888,109877618.2,8237157.376
11343770.62,172023496.7,2296306.688,47519957.55,9297440.768
11498495.02,81582393.34,1654770.688,30086891.25,9406664.704
11516837.01,36813038.59,311747.584,47733861.48,9641991.168
11412491.03,14655839.23,114204.672,43779441.56,9590484.992
11509094.93,17442908.16,0,22303046.86,9432420.352
11416606.98,31842324.48,44351.488,17680047.1,9776079.872
11470080.05,67902663.68,147951.616,18812490.62,9669515.264
11446564.35,155219731.5,496422.912,19567735.09,8587847.68
11410030.99,269218155.5,1998497.792,27768799.42,6467364.864
11463858.67,1583905505,4464974.848,155256594.4,5319162.88
11611949.82,4185954189,7647416.32,321291292.7,3015670.784
11631013.98,3965500522,6831877.12,391786242.8,3437471.744
11653172.94,2407846117,4390917.12,273178897.5,3871713.28
11531635.34,1120423379,4951474.176,184668071.5,5173095.424
11519635.54,1848076403,5647296.512,313620186.1,4523875.328
11603584.23,3757507084,6111878.144,572325977.1,2806991.872
11609678.94,3874130756,3831228.416,639455110.4,3515616.256
